group,t,q,qd,tau_ext_true,r,tau_f_true
A,1.81,-0.16366399,0.31864095,0,0.16248344,0.15654355
A,1.82,-0.16009438,0.39119884,0,0.1572914,0.15786398
A,1.83,-0.15589945,0.44407478,0,0.15568984,0.15889539
A,1.84,-0.15126956,0.47864829,0,0.15565479,0.15957992
A,1.85,-0.146379,0.49668296,0,0.15615143,0.15993851
A,1.86,-0.14138373,0.50004732,0,0.15676881,0.16000548
A,1.87,-0.1364212,0.49055467,0,0.15706248,0.15981658
A,1.88,-0.13161142,0.46987209,0,0.15727796,0.15940574
A,1.89,-0.12705867,0.43947619,0,0.15713661,0.15880476
A,1.9,-0.12285348,0.40063964,0,0.1568893,0.15804591
A,1.91,-0.11907467,0.35443422,0,0.1564492,0.15717213
A,1.92,-0.11579137,0.30173164,0,0.15589997,0.15627407
A,1.93,-0.11306514,0.24315408,0,0.15512552,0.15563575
A,1.94,-0.11095357,0.17878498,0,0.15497187,0.15637528
A,1.95,-0.10952132,0.10663391,0,0.15636555,0.16398462
A,1.96,-0.10890131,0.0095745554,0,0.16893066,0.23276419
A,1.97,-0.10889071,0.0002393919,0,0.13121268,0.24952715
A,1.98,-0.10888755,0.002342507,0,0.077102559,0.24546989
A,1.99,-0.1088904,-0.0016083333,0,0.025145309,-0.24686668
A,2,-0.10889678,0.00057768416,0,-0.030569482,0.24886283
A,2.01,-0.10891083,0.00043476484,0,-0.092039592,0.24914294
A,2.02,-0.10893502,-0.0052565331,0,-0.15975302,-0.24012582
A,2.03,-0.10923494,-0.074947603,0,-0.19687742,-0.17383536
A,2.04,-0.11071648,-0.22476005,0,-0.18123374,-0.15561144
A,2.05,-0.1137745,-0.38515823,0,-0.1677481,-0.1577483
A,2.06,-0.118422,-0.54168658,0,-0.16256346,-0.1608357
A,2.07,-0.12459623,-0.69010391,0,-0.16157361,-0.16380218
A,2.08,-0.13220429,-0.8283281,0,-0.16239953,-0.16656657
A,2.09,-0.14113926,-0.95553887,0,-0.16432422,-0.16911078
A,2.1,-0.15129043,-1.0717249,0,-0.16647452,-0.1714345
A,2.11,-0.16254963,-1.1773524,0,-0.16852892,-0.17354705
A,2.12,-0.1748147,-1.273126,0,-0.17082368,-0.17546252
A,2.13,-0.18799102,-1.3598238,0,-0.17291238,-0.17719648
A,2.14,-0.20199167,-1.4381911,0,-0.17480253,-0.17876382
A,2.15,-0.21673671,-1.508878,0,-0.1765859,-0.18017756
A,2.16,-0.2321521,-1.5724092,0,-0.17817101,-0.18144818
A,2.17,-0.24816837,-1.6291762,0,-0.17952469,-0.18258352
A,2.18,-0.26471932,-1.6794437,0,-0.18076903,-0.18358887
A,2.19,-0.28174081,-1.7233652,0,-0.18185961,-0.1844673
A,2.2,-0.29916976,-1.7610026,0,-0.18279307,-0.18522005
A,2.21,-0.31694334,-1.7923474,0,-0.18356571,-0.18584695
A,2.22,-0.33499836,-1.8173413,0,-0.18419424,-0.18634683
A,2.23,-0.35327088,-1.8358948,0,-0.18487852,-0.1867179
A,2.24,-0.37169597,-1.8479036,0,-0.18520375,-0.18695807
A,2.25,-0.39020765,-1.8532621,0,-0.18544483,-0.18706524
A,2.26,-0.40873892,-1.8518747,0,-0.18553436,-0.18703749
A,2.27,-0.42722191,-1.8436638,0,-0.18550015,-0.18687328
A,2.28,-0.4455881,-1.8285765,0,-0.18542365,-0.18657153
A,2.29,-0.46376858,-1.8065891,0,-0.18520675,-0.18613178
A,2.3,-0.48169437,-1.77771,0,-0.18463564,-0.1855542
A,2.31,-0.49929672,-1.7419817,0,-0.18417571,-0.18483963
A,2.32,-0.51650751,-1.6994812,0,-0.18345287,-0.18398962
A,2.33,-0.53325955,-1.6503205,0,-0.18262972,-0.18300641
A,2.34,-0.54948696,-1.5946463,0,-0.18194413,-0.18189293
A,2.35,-0.56512548,-1.5326385,0,-0.1806957,-0.18065277
A,2.36,-0.58011282,-1.4645096,0,-0.17963359,-0.17929019
A,2.37,-0.59438897,-1.3905031,0,-0.17834075,-0.17781006
A,2.38,-0.60789651,-1.3108919,0,-0.17691584,-0.17621784
A,2.39,-0.6205809,-1.2259769,0,-0.17541401,-0.17451954
A,2.4,-0.63239072,-1.1360849,0,-0.17377421,-0.1727217
A,2.41,-0.64327795,-1.0415672,0,-0.17209524,-0.17083134
A,2.42,-0.65319822,-0.94279726,0,-0.17032548,-0.16885595
A,2.43,-0.66211096,-0.84016901,0,-0.16846331,-0.16680339
A,2.44,-0.66997968,-0.73409485,0,-0.1664856,-0.16468194
A,2.45,-0.67677204,-0.62500343,0,-0.16435991,-0.16250044
A,2.46,-0.68246012,-0.51333691,0,-0.16241893,-0.16027022
A,2.47,-0.68702042,-0.3995418,0,-0.16017367,-0.15802469
A,2.48,-0.6904337,-0.283996,0,-0.15811371,-0.1560213
A,2.49,-0.69268189,-0.16625826,0,-0.15660394,-0.15692182
A,2.5,-0.69371083,-0.035305688,0,-0.16136016,-0.20006197
A,2.51,-0.6937476,0.00071305339,0,-0.11354989,0.24859828
A,2.52,-0.69374462,0.0027521391,0,-0.031435368,0.24469951
A,2.53,-0.69373385,0.0017627028,0,0.04476295,0.24657127
A,2.54,-0.69371414,0.0023057425,0,0.12337913,0.24553934
A,2.55,-0.69356705,0.045115441,0,0.18694557,0.19146551
A,2.56,-0.69242015,0.19267045,0,0.18302884,0.15597414
A,2.57,-0.68962262,0.36611061,0,0.16954773,0.15738828
A,2.58,-0.68507974,0.54009361,0,0.16352865,0.16080391
A,2.59,-0.67882566,0.7075689,0,0.16224195,0.16415145
A,2.6,-0.67094716,0.86459879,0,0.16301577,0.16729198
A,2.61,-0.66156062,1.0090689,0,0.16483042,0.17018138
A,2.62,-0.65079681,1.1401235,0,0.1670265,0.17280247
A,2.63,-0.63879058,1.2577357,0,0.16936032,0.17515471
A,2.64,-0.62567423,1.3623833,0,0.17180817,0.17724767
A,2.65,-0.6115738,1.4548118,0,0.17405589,0.17909624
A,2.66,-0.59660722,1.5358703,0,0.17600449,0.18071741
A,2.67,-0.5808839,1.606403,0,0.1779326,0.18212806
A,2.68,-0.56450509,1.6671852,0,0.17940942,0.1833437
A,2.69,-0.54756482,1.7188898,0,0.18101046,0.1843778
A,2.7,-0.53015093,1.7620766,0,0.18222637,0.18524153
A,2.71,-0.51234625,1.7971959,0,0.18320957,0.18594392
A,2.72,-0.49422959,1.8246008,0,0.18397751,0.18649202
A,2.73,-0.47587666,1.8445644,0,0.18455527,0.18689129
A,2.74,-0.45736077,1.8572983,0,0.18516888,0.18714597
A,2.75,-0.43875331,1.8629715,0,0.18548243,0.18725943
A,2.76,-0.42012418,1.8617264,0,0.18566304,0.18723453
A,2.77,-0.40154187,1.8536939,0,0.18565603,0.18707388
A,2.78,-0.38307362,1.839005,0,0.18554984,0.1867801
A,2.79,-0.36478529,1.8178006,0,0.18541719,0.18635601
A,2.8,-0.34674125,1.7902384,0,0.18503884,0.18580477
A,2.81,-0.32900418,1.7564984,0,0.18445853,0.18512997
A,2.82,-0.31163487,1.7167855,0,0.18388136,0.18433571
A,2.83,-0.29469187,1.6713322,0,0.1831758,0.18342664
A,2.84,-0.27823131,1.6203985,0,0.18246743,0.18240797
A,2.85,-0.26230657,1.5642723,0,0.18144793,0.18128545
A,2.86,-0.24696799,1.5032683,0,0.18047954,0.18006537
A,2.87,-0.23226266,1.4377263,0,0.1792961,0.17875453
A,2.88,-0.21823414,1.3680098,0,0.17809265,0.1773602
A,2.89,-0.20492226,1.2945037,0,0.17672335,0.17589007
A,2.9,-0.19236287,1.2176123,0,0.17549944,0.17435225
A,2.91,-0.18058773,1.1377566,0,0.17403309,0.17275513
A,2.92,-0.16962429,1.0553724,0,0.17253432,0.17110745
A,2.93,-0.15949556,0.97090743,0,0.17103386,0.16941815
A,2.94,-0.15022008,0.8848192,0,0.16949157,0.16769639
A,2.95,-0.14181171,0.79757241,0,0.16775267,0.16595146
A,2.96,-0.13427968,0.70963659,0,0.16623267,0.1641928
A,2.97,-0.12762851,0.62148359,0,0.16460073,0.16243007
A,2.98,-0.12185797,0.53358483,0,0.16279312,0.16067402
A,2.99,-0.11696316,0.44640672,0,0.16133629,0.15894139
A,3,-0.11293459,0.36039607,0,0.15956323,0.15728199
A,3.01,-0.10975864,0.27591279,0,0.15809617,0.15591954
A,3.02,-0.10741966,0.19289373,0,0.15692908,0.15596916
A,3.03,-0.10591077,0.10908018,0,0.15772357,0.16346764
A,3.04,-0.10530157,0.005235205,0,0.17086952,0.2401638
A,3.05,-0.10529248,0.00070201726,0,0.13085174,0.24861982
A,3.06,-0.1052889,0.00213489,0,0.082639077,0.24586279
A,3.07,-0.10528667,0.0012634031,0,0.040138621,0.24753012
A,3.08,-0.10529049,-0.0011048716,0,-0.00092662161,-0.24783659
A,3.09,-0.10529808,-0.0025952722,0,-0.043423862,-0.24499377
A,3.1,-0.10531058,-0.00079104134,0,-0.087743809,-0.24844619
A,3.11,-0.10532868,-0.0024808914,0,-0.13394604,-0.24520892
A,3.12,-0.1053532,-0.0040421591,0,-0.18086679,-0.24231468
A,3.13,-0.10549702,-0.037807307,0,-0.21171773,-0.19770337
A,3.14,-0.10635981,-0.13943474,0,-0.19406879,-0.15893884
A,3.15,-0.10830393,-0.24602791,0,-0.17205662,-0.15565006
A,3.16,-0.11122935,-0.33482668,0,-0.16111482,-0.15682005
A,3.17,-0.11494065,-0.40339431,0,-0.15680341,-0.15809923
A,3.18,-0.11923791,-0.45242427,0,-0.1555986,-0.15906024
A,3.19,-0.123933,-0.483423,0,-0.15563723,-0.15967478
A,3.2,-0.12885455,-0.4981897,0,-0.15615708,-0.1599685
A,3.21,-0.13384961,-0.49857353,0,-0.15676376,-0.15997614
A,3.22,-0.13878336,-0.48633398,0,-0.1571021,-0.15973265
A,3.23,-0.14353777,-0.46306429,0,-0.15709696,-0.15927079
A,3.24,-0.14800974,-0.43015738,0,-0.15710889,-0.1586215
A,3.25,-0.15210905,-0.38879897,0,-0.15677805,-0.15781795
A,3.26,-0.15575634,-0.33997279,0,-0.15632524,-0.15691089
A,3.27,-0.15888101,-0.28445345,0,-0.15564711,-0.15602734
A,3.28,-0.16141887,-0.22270997,0,-0.15494299,-0.15561716
A,3.29,-0.16330702,-0.15436989,0,-0.15489408,-0.15764945
A,3.3,-0.16446412,-0.074991936,0,-0.158291,-0.17381645
A,3.31,-0.16473442,-0.00042033677,0,-0.16403388,-0.24917126
A,3.32,-0.1647401,0.00066949936,0,-0.10587335,0.24868332
A,3.33,-0.16474199,0.00057718771,0,-0.050737391,0.24886381
A,3.34,-0.16473721,-0.0016160847,0,0.0055624904,-0.24685183
A,3.35,-0.16472466,0.0028522661,0,0.06654935,0.24451217
A,3.36,-0.16470403,0.0029490473,0,0.13539327,0.24433145
A,3.37,-0.16462197,0.032778098,0,0.19890869,0.20257059
A,3.38,-0.16362752,0.17591022,0,0.19160441,0.15648347
A,3.39,-0.16101073,0.34643126,0,0.17302187,0.15702656
A,3.4,-0.15668615,0.51602892,0,0.16474871,0.16032387
A,3.41,-0.15069548,0.67911372,0,0.16247036,0.1635824
A,3.42,-0.14311866,0.83305533,0,0.16279814,0.16666111
A,3.43,-0.13405395,0.97669227,0,0.16473474,0.16953385
A,3.44,-0.12360609,1.1098137,0,0.16700172,0.17219627
A,3.45,-0.11187874,1.2327856,0,0.16951777,0.17465571
A,3.46,-0.098970166,1.3462785,0,0.17199986,0.17692557
A,3.47,-0.084971239,1.4510759,0,0.17437915,0.17902152
